location,target,target_end_date,forecast_date,value,quantile,type
US,1 day ahead cum case,2020-07-02,2020-07-01,2345701.8,NA,point
US,2 day ahead cum case,2020-07-03,2020-07-01,2370688.8,NA,point
US,3 day ahead cum case,2020-07-04,2020-07-01,2396961.2,NA,point
US,4 day ahead cum case,2020-07-05,2020-07-01,2424661.2,NA,point
US,5 day ahead cum case,2020-07-06,2020-07-01,2453840.8,NA,point
US,6 day ahead cum case,2020-07-07,2020-07-01,2484378.8,NA,point
US,7 day ahead cum case,2020-07-08,2020-07-01,2516085.0,NA,point
US,8 day ahead cum case,2020-07-09,2020-07-01,2548780.5,NA,point
US,9 day ahead cum case,2020-07-10,2020-07-01,2582305.8,NA,point
US,10 day ahead cum case,2020-07-11,2020-07-01,2616536.5,NA,point
US,11 day ahead cum case,2020-07-12,2020-07-01,2651381.2,NA,point
US,12 day ahead cum case,2020-07-13,2020-07-01,2686783.5,NA,point
US,13 day ahead cum case,2020-07-14,2020-07-01,2722594.0,NA,point
US,14 day ahead cum case,2020-07-15,2020-07-01,2758688.0,NA,point
US,15 day ahead cum case,2020-07-16,2020-07-01,2794999.0,NA,point
US,16 day ahead cum case,2020-07-17,2020-07-01,2831469.2,NA,point
US,17 day ahead cum case,2020-07-18,2020-07-01,2868069.0,NA,point
US,18 day ahead cum case,2020-07-19,2020-07-01,2904806.0,NA,point
US,19 day ahead cum case,2020-07-20,2020-07-01,2941641.2,NA,point
US,20 day ahead cum case,2020-07-21,2020-07-01,2978464.0,NA,point
US,21 day ahead cum case,2020-07-22,2020-07-01,3015129.8,NA,point
US,22 day ahead cum case,2020-07-23,2020-07-01,3051190.8,NA,point
US,23 day ahead cum case,2020-07-24,2020-07-01,3087061.8,NA,point
US,24 day ahead cum case,2020-07-25,2020-07-01,3122739.8,NA,point
US,25 day ahead cum case,2020-07-26,2020-07-01,3158132.5,NA,point
US,26 day ahead cum case,2020-07-27,2020-07-01,3193193.0,NA,point
US,27 day ahead cum case,2020-07-28,2020-07-01,3227856.8,NA,point
US,28 day ahead cum case,2020-07-29,2020-07-01,3262218.8,NA,point
US,29 day ahead cum case,2020-07-30,2020-07-01,3296295.8,NA,point
US,30 day ahead cum case,2020-07-31,2020-07-01,3330066.5,NA,point
US,31 day ahead cum case,2020-08-01,2020-07-01,3363535.8,NA,point
