location,target,target_end_date,forecast_date,value,quantile,type
US,1 day ahead inc case,2020-07-21,2020-07-20,73152.42,NA,point
US,2 day ahead inc case,2020-07-22,2020-07-20,74169.69,NA,point
US,3 day ahead inc case,2020-07-23,2020-07-20,74227.88,NA,point
US,4 day ahead inc case,2020-07-24,2020-07-20,73535.945,NA,point
US,5 day ahead inc case,2020-07-25,2020-07-20,72492.91,NA,point
US,6 day ahead inc case,2020-07-26,2020-07-20,71717.72,NA,point
US,7 day ahead inc case,2020-07-27,2020-07-20,71515.67,NA,point
US,8 day ahead inc case,2020-07-28,2020-07-20,71044.26,NA,point
US,9 day ahead inc case,2020-07-29,2020-07-20,72398.81,NA,point
US,10 day ahead inc case,2020-07-30,2020-07-20,74941.58,NA,point
US,11 day ahead inc case,2020-07-31,2020-07-20,78234.4,NA,point
US,12 day ahead inc case,2020-08-01,2020-07-20,80910.78,NA,point
US,13 day ahead inc case,2020-08-02,2020-07-20,81852.805,NA,point
