,location,target,target_end_date,forecast_date,point,quantile
336,US,1 wk ahead inc case,2020-06-17,2020-06-17,23636.39,NA
337,US,1 wk ahead inc case,2020-06-18,2020-06-17,24681.864,NA
338,US,1 wk ahead inc case,2020-06-19,2020-06-17,25177.364,NA
339,US,1 wk ahead inc case,2020-06-20,2020-06-17,25151.592,NA
340,US,1 wk ahead inc case,2020-06-21,2020-06-17,19096.728,NA
341,US,1 wk ahead inc case,2020-06-22,2020-06-17,23490.623,NA
342,US,1 wk ahead inc case,2020-06-23,2020-06-17,23896.867,NA
343,US,2 wk ahead inc case,2020-06-17,2020-06-17,23636.39,NA
344,US,2 wk ahead inc case,2020-06-18,2020-06-17,24681.864,NA
345,US,2 wk ahead inc case,2020-06-19,2020-06-17,25177.364,NA
346,US,2 wk ahead inc case,2020-06-20,2020-06-17,25151.592,NA
347,US,2 wk ahead inc case,2020-06-21,2020-06-17,19096.728,NA
348,US,2 wk ahead inc case,2020-06-22,2020-06-17,23490.623,NA
349,US,2 wk ahead inc case,2020-06-23,2020-06-17,23896.867,NA
350,US,2 wk ahead inc case,2020-06-24,2020-06-17,23944.185,NA
351,US,2 wk ahead inc case,2020-06-25,2020-06-17,24959.493,NA
352,US,2 wk ahead inc case,2020-06-26,2020-06-17,25177.364,NA
353,US,2 wk ahead inc case,2020-06-27,2020-06-17,25177.364,NA
354,US,2 wk ahead inc case,2020-06-28,2020-06-17,20015.089,NA
355,US,2 wk ahead inc case,2020-06-29,2020-06-17,23834.046,NA
356,US,2 wk ahead inc case,2020-06-30,2020-06-17,23938.679,NA
